"code","description"
"RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST"
"RQ3","BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST"
"RQ6","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST"
"RQ8","MID ESSEX HOSPITAL SERVICES NHS TRUST"
"RQF","VELINDRE NHS TRUST"
"RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST"
"RQQ","HINCHINGBROOKE HEALTH CARE NHS TRUST"
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST"
"RQX","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST"
"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST"
"RR1","HEART OF ENGLAND NHS FOUNDATION TRUST"
"RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST"
"RR8","LEEDS TEACHING HOSPITALS NHS TRUST"
"RRD","NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST"
"RRE","SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST"
"RRF","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
"RRJ","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST"
"RRK","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST"
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST"
"RRU","LONDON AMBULANCE SERVICE NHS TRUST"
"RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST"
"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST"
"RT2","PENNINE CARE NHS FOUNDATION TRUST"
"RT3","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST"
"RT4","WELSH AMBULANCE SERVICES NHS TRUST"
"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST"
"RTD","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST"
"RTE","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST"
"RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST"
"RTG","DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST"
"RTH","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST"
"RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST"
"RTQ","2GETHER NHS FOUNDATION TRUST"
"RTR","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST"
"RTV","5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST"
"RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST"
"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST"
"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST"
"RV9","HUMBER NHS FOUNDATION TRUST"
"RVJ","NORTH BRISTOL NHS TRUST"
"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST"
"RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST"
"RVV","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST"
"RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST"
"RVY","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST"
"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST"
"RW3","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"RW4","MERSEY CARE NHS FOUNDATION TRUST"
"RW5","LANCASHIRE CARE NHS FOUNDATION TRUST"
"RW6","PENNINE ACUTE HOSPITALS NHS TRUST"
"RWA","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST"
"RWD","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST"
"RWE","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST"
"RWF","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST"
"RWG","WEST HERTFORDSHIRE HOSPITALS NHS TRUST"
"RWH","EAST AND NORTH HERTFORDSHIRE NHS TRUST"
"RWJ","STOCKPORT NHS FOUNDATION TRUST"
"RWK","EAST LONDON NHS FOUNDATION TRUST"
"RWN","SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST"
"RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST"
"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST"
"RWV","DEVON PARTNERSHIP NHS TRUST"
"RWW","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST"
"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST"
"RWY","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST"
